fid,id,pid,mid,sex,sexf,pop,reg,population,region
HG01808,HG01808,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG01809,HG01809,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG01810,HG01810,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG01811,HG01811,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG01812,HG01812,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG01813,HG01813,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG01815,HG01815,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG01816,HG01816,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG01817,HG01817,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
VN007,HG01840,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN008,HG01841,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN009,HG01842,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN010,HG01843,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN011,HG01844,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN012,HG01845,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN013,HG01846,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN014,HG01847,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN015,HG01848,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN016,HG01849,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN017,HG01850,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN018,HG01851,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN019,HG01852,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN020,HG01853,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN022,HG01855,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN024,HG01857,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN025,HG01858,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN026,HG01859,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN027,HG01860,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN028,HG01861,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN029,HG01862,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN030,HG01863,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN031,HG01864,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN032,HG01865,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN033,HG01866,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN034,HG01867,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN035,HG01868,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN036,HG01869,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN037,HG01870,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN038,HG01871,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN039,HG01872,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN040,HG01873,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN041,HG01874,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN045,HG01878,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
BB01,HG01879,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB01,HG01880,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB02,HG01882,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB02,HG01883,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB03,HG01885,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB04,HG01886,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB05,HG01889,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB05,HG01890,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
PEL007,HG01892,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL007,HG01893,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
BB06,HG01894,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB07,HG01896,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB06,HG01912,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB09,HG01914,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB09,HG01915,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
PEL006,HG01917,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL006,HG01918,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL009,HG01920,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL009,HG01921,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL010,HG01923,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL010,HG01924,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL011,HG01926,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL011,HG01927,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL013,HG01932,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL013,HG01933,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL014,HG01935,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL014,HG01936,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL015,HG01938,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL015,HG01939,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL016,HG01941,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL016,HG01942,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL017,HG01944,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL017,HG01945,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL018,HG01947,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL018,HG01948,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL019,HG01950,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL019,HG01951,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL020,HG01953,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL020,HG01954,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
BB03,HG01956,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB10,HG01958,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
PEL21,HG01961,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL22,HG01965,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL023,HG01967,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL023,HG01968,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL024,HG01970,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL024,HG01971,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL25,HG01973,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL25,HG01974,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL26,HG01976,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL26,HG01977,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL27,HG01979,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL27,HG01980,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL28,HG01982,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
BB08,HG01985,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB10,HG01986,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB11,HG01988,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB11,HG01989,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB12,HG01990,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
PEL29,HG01991,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL29,HG01992,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL31,HG01997,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL33,HG02002,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL33,HG02003,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL34,HG02006,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL31,HG02008,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
BB13,HG02009,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB13,HG02010,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB12,HG02012,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB07,HG02013,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB04,HG02014,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
VN046,HG02016,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN046,HG02017,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN047,HG02019,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN047,HG02020,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN048,HG02023,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN049,HG02025,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN049,HG02026,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN050,HG02028,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN050,HG02029,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN051,HG02031,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN051,HG02032,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN052,HG02035,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN054,HG02040,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN056,HG02047,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN057,HG02048,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN058,HG02049,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN059,HG02050,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
BB14,HG02051,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB14,HG02052,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB15,HG02053,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB15,HG02054,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
VN060,HG02057,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN060,HG02058,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN061,HG02060,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN061,HG02061,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN062,HG02064,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN063,HG02067,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN064,HG02069,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN064,HG02070,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN065,HG02072,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN065,HG02073,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN066,HG02075,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN066,HG02076,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN067,HG02078,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN067,HG02079,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN068,HG02081,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN068,HG02082,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN069,HG02084,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN069,HG02085,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN070,HG02086,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN071,HG02087,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN072,HG02088,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
PEL35,HG02089,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL35,HG02090,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
BB16,HG02095,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
PEL37,HG02102,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL38,HG02104,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL38,HG02105,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
BB18,HG02107,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB18,HG02108,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB19,HG02111,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
VN073,HG02113,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN074,HG02116,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN076,HG02121,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN076,HG02122,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN078,HG02127,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN078,HG02128,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN079,HG02130,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN079,HG02131,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN080,HG02133,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN080,HG02134,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN081,HG02136,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN081,HG02137,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN082,HG02138,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN083,HG02139,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN084,HG02140,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN085,HG02141,0,0,1,male,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
VN086,HG02142,0,0,2,female,KHV,EAS,"Kinh in Ho Chi Minh City, Vietnam",East Asia
BB20,HG02143,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB20,HG02144,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
PEL39,HG02146,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL39,HG02147,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL40,HG02150,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
HG02151,HG02151,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02152,HG02152,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02153,HG02153,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02154,HG02154,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02155,HG02155,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02156,HG02156,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02164,HG02164,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02165,HG02165,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02166,HG02166,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02178,HG02178,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02179,HG02179,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02180,HG02180,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02181,HG02181,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02182,HG02182,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02184,HG02184,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02185,HG02185,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02186,HG02186,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02187,HG02187,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02188,HG02188,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02190,HG02190,0,0,2,female,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02215,HG02215,0,0,2,female,GBR,EUR,British in England and Scotland,Europe
IBS055,HG02219,0,0,1,male,IBS,EUR,Iberian populations in Spain,Europe
IBS056,HG02220,0,0,2,female,IBS,EUR,Iberian populations in Spain,Europe
IBS056,HG02221,0,0,1,male,IBS,EUR,Iberian populations in Spain,Europe
IBS057,HG02223,0,0,2,female,IBS,EUR,Iberian populations in Spain,Europe
IBS057,HG02224,0,0,1,male,IBS,EUR,Iberian populations in Spain,Europe
IBS059,HG02230,0,0,2,female,IBS,EUR,Iberian populations in Spain,Europe
IBS059,HG02231,0,0,1,male,IBS,EUR,Iberian populations in Spain,Europe
IBS060,HG02232,0,0,2,female,IBS,EUR,Iberian populations in Spain,Europe
IBS060,HG02233,0,0,1,male,IBS,EUR,Iberian populations in Spain,Europe
IBS061,HG02235,0,0,2,female,IBS,EUR,Iberian populations in Spain,Europe
IBS061,HG02236,0,0,1,male,IBS,EUR,Iberian populations in Spain,Europe
IBS062,HG02238,0,0,1,male,IBS,EUR,Iberian populations in Spain,Europe
IBS062,HG02239,0,0,2,female,IBS,EUR,Iberian populations in Spain,Europe
HG02250,HG02250,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
PEL41,HG02252,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL41,HG02253,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
BB21,HG02255,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB21,HG02256,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
PEL42,HG02259,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL42,HG02260,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL43,HG02262,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL44,HG02265,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL44,HG02266,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL46,HG02271,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL46,HG02272,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL47,HG02274,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL47,HG02275,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL48,HG02277,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL48,HG02278,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
BB24,HG02281,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB24,HG02282,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB25,HG02283,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB26,HG02284,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
PEL49,HG02285,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL49,HG02286,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL51,HG02291,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL51,HG02292,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL52,HG02298,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL52,HG02299,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
PEL53,HG02301,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL54,HG02304,0,0,1,male,PEL,AMR,"Peruvian in Lima, Peru",America
BB23,HG02307,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB23,HG02308,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB25,HG02309,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
PEL55,HG02312,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
BB22,HG02314,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB22,HG02315,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB27,HG02317,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB27,HG02318,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB28,HG02322,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB29,HG02323,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB30,HG02325,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB33,HG02330,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB16,HG02332,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB32,HG02334,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
BB31,HG02337,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB34,HG02339,0,0,2,female,ACB,AFR,African Caribbean in Barbados,Africa
BB35,HG02343,0,0,1,male,ACB,AFR,African Caribbean in Barbados,Africa
PEL56,HG02345,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
PEL57,HG02348,0,0,2,female,PEL,AMR,"Peruvian in Lima, Peru",America
HG02351,HG02351,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02353,HG02353,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02355,HG02355,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02356,HG02356,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02360,HG02360,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02364,HG02364,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02367,HG02367,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
CDX2,HG02371,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02373,HG02373,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02374,HG02374,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02375,HG02375,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02379,HG02379,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02380,HG02380,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02382,HG02382,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02383,HG02383,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02384,HG02384,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02385,HG02385,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02386,HG02386,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02389,HG02389,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02390,HG02390,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02391,HG02391,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02392,HG02392,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02394,HG02394,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02395,HG02395,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02396,HG02396,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02397,HG02397,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02398,HG02398,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
HG02399,HG02399,0,0,1,male,CDX,EAS,"Chinese Dai in Xishuangbanna, China",East Asia
